Expert,Simple,cancer,source,page
>familial adenomatous polyposis ,>familial adenomatous polyposis ,Stomach,NCI,Prevention
">familial intestinal gastric cancer (FIGC), a type of stomach cancer that runs in families but does not have a known genetic cause ",">familial intestinal gastric cancer (FIGC), a kind of stomach cancer that people in the same family can have but the reason is not known.  ",Stomach,NCI,Prevention
>gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) ,>gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS) ,Stomach,NCI,Prevention
"(To learn more, see GAPPS .) ","(To learn more, see GAPPS .) ",Stomach,NCI,Prevention
">hereditary diffuse gastric cancer (HDGC) (To learn more, see HDGC .) ",">hereditary diffuse gastric cancer (HDGC) (To learn more, see HDGC .) ",Stomach,NCI,Prevention
>juvenile polyposis syndrome ,>juvenile polyposis syndrome ,Stomach,NCI,Prevention
>Li-Fraumeni syndrome ,>Li-Fraumeni syndrome ,Stomach,NCI,Prevention
>Lynch syndrome (also called hereditary nonpolyposis colon cancer and HNPCC) ,>Lynch syndrome (also called hereditary nonpolyposis colon cancer and HNPCC) ,Stomach,NCI,Prevention
>Peutz-Jeghers syndrome ,>Peutz-Jeghers syndrome ,Stomach,NCI,Prevention
">Type A blood (To learn more, see the MedlinePlus page on blood types .)",">Type A blood (To learn more, see the MedlinePlus page on blood types .)",Stomach,NCI,Prevention
"Eating a diet that is low in fruits and vegetables or that is high in salted, smoked, or poorly preserved foods may increase the risk of stomach cancer.","Not eating enough fruits and vegetables or eating foods that are salty, smoked or not kept fresh can give you a bigger chance of getting stomach cancer.",Stomach,NCI,Prevention
People who smoke have a higher risk of stomach cancer than nonsmokers. ,People who smoke have a bigger chance of getting stomach cancer than people who do not smoke. ,Stomach,NCI,Prevention
Smoking also makes treatment for H. pylori infection less effective. ,Smoking also makes treatment for H. pylori infection not work as well.   ,Stomach,NCI,Prevention
Smokers who stop smoking lower their risk of having stomach cancer over time. ,Smokers who stop smoking can have a smaller and smaller chance of having stomach cancer the longer they don’t smoke.  ,Stomach,NCI,Prevention
Learn about different tools to help you quit smoking and how to use them.,Learn about different tools to help you quit smoking and how to use them.,Stomach,NCI,Prevention
Environmental and occupational exposures,Environmental and occupational exposures,Stomach,NCI,Prevention
The risk of stomach cancer is increased in people who ,The chance of getting stomach cancer is bigger in people who,Stomach,NCI,Prevention
>work in the rubber or coal industry ,>work in the rubber or coal business ,Stomach,NCI,Prevention
>have been exposed to very high levels of radiation ,>have worked around high levels of (or a lot of) radiation ,Stomach,NCI,Prevention
Having one or more of these risk factors does not necessarily mean you will get stomach cancer. ,Just because you have one or more of these risk factors doesn’t mean that you will definitely get stomach cancer.  ,Stomach,NCI,Prevention
"Many people with risk factors never develop stomach cancer, whereas others with no known risk factors do. ","A lot of people with risk factors never get stomach cancer, but others with no risk factors (that they know about) do. ",Stomach,NCI,Prevention
Talk with your doctor if you think you might be at increased risk. ,Talk to your doctor if you think you might have a bigger chance of getting stomach cancer.  ,Stomach,NCI,Prevention
"Stomach cancer screening or preventive surgery may be available to people at very high risk of stomach cancer, such as those with certain genetic conditions or family histories. ",People who have a very big chance of getting stomach cancer (like people who have genetic problems or family members with cancer) might be able to get checked for stomach cancer or have surgery that will keep them from getting stomach cancer.   ,Stomach,NCI,Prevention
Learn about stomach cancer screening .,Learn about stomach cancer screening .,Stomach,NCI,Prevention
